time,open,high,low,close,Volume
1592564400,5022.82,5031.31,5016.56,5031.04,NaN
1592568000,5031.29,5040.47,5027.66,5035.9,NaN
1592571600,5036.22,5037.27,4997.79,4997.84,NaN
1592575200,4998.81,5014.34,4989.92,4991.5,NaN
1592578800,4991.85,4995.61,4979.55,4990.91,NaN
1592809200,4928.01,4981.42,4902.06,4972.22,NaN
1592812800,4971.44,4991.41,4961.32,4984.66,NaN
1592816400,4990.85,5006.4,4978.37,4979.82,NaN
1592820000,4979.72,4986.86,4948.91,4956.3,NaN
1592823600,4955.49,4961.54,4943.23,4961.54,NaN
1592827200,4961.87,4965.91,4950.07,4956.43,NaN
1592830800,4956.69,4961.48,4929.25,4949.04,NaN
1592834400,4948.67,4958.39,4934.86,4934.86,NaN
1592838000,4934.45,4948.49,4932.17,4945.42,NaN
1592895600,4972.88,5035.51,4962.6,5034.97,NaN
1592899200,5036.58,5036.82,5014.5,5014.5,NaN
1592902800,5014.24,5028.76,5008.71,5020.96,NaN
1592906400,5022.05,5034.99,5019.31,5031.43,NaN
1592910000,5032.16,5041.62,5020.67,5041.11,NaN
1592913600,5040.91,5046.31,5028.21,5033.1,NaN
1592917200,5033.15,5036.27,5006.99,5008.57,NaN
1592920800,5006.4,5014.77,4987.27,4993.46,NaN
1592924400,4992.95,5022.88,4988.9,5018.93,NaN
1592982000,4985.63,5004.04,4945.64,4953.37,NaN
1592985600,4952.07,4954.88,4921.53,4941.74,NaN
1592989200,4942.34,4949.71,4907.24,4913.6,NaN
1592992800,4913.27,4935.43,4912.92,4928.64,NaN
1592996400,4930.04,4944.13,4929.38,4933.87,NaN
1593000000,4933.27,4940.6,4923.33,4938.47,NaN
1593003600,4938.23,4946.13,4916.14,4916.8,NaN
1593007200,4915.93,4924.35,4897.79,4903.09,NaN
1593010800,4901.07,4906.29,4876.28,4876.28,NaN
1593068400,4860.16,4860.16,4795.05,4831.8,NaN
1593072000,4831.45,4899.15,4831.01,4886.52,NaN
1593075600,4884.09,4900.69,4866.41,4884.58,NaN
1593079200,4883.43,4897.68,4871.27,4897.68,NaN
1593082800,4898.88,4898.88,4870.16,4871.18,NaN
1593086400,4871.49,4893.07,4866.84,4871.18,NaN
1593090000,4871.22,4905.92,4871.22,4892.83,NaN
1593093600,4896.1,4933.2,4895.19,4933.2,NaN
1593097200,4931.33,4941.96,4923.5,4933.99,NaN
1593154800,4965.72,4978.21,4949.4,4967.79,NaN
1593158400,4968.02,4975.5,4931,4971.93,NaN
1593162000,4971.82,4999.94,4964.06,4995.04,NaN
1593165600,4996.11,5008.53,4993.01,5008.53,NaN
1593169200,5008.15,5014.83,4991.05,4992.44,NaN
1593172800,4992.85,4997.39,4971.85,4972.73,NaN
1593176400,4974.89,4980.34,4960.87,4973.62,NaN
1593180000,4972.2,4972.2,4908.15,4916.54,NaN
1593183600,4918.25,4927,4909.6,4910.38,NaN
1593414000,4887.23,4926.65,4884.3,4896.44,NaN
1593417600,4895.93,4907.26,4867.33,4905.12,NaN
1593421200,4905.8,4929.49,4896.89,4925.45,NaN
1593424800,4924.98,4927.95,4902.7,4918.09,NaN
1593428400,4918.92,4942.91,4917.93,4940.07,NaN
1593432000,4939.35,4942.31,4917.16,4924.1,NaN
1593435600,4925.22,4934.49,4899.95,4917.3,NaN
1593439200,4914.19,4977.63,4914.19,4964.05,NaN
1593442800,4961.02,4963.83,4947.22,4960.28,NaN
1593500400,4958.94,4967.35,4936.23,4954.66,NaN
1593504000,4955.97,4958.72,4916.16,4923.47,NaN
1593507600,4923.87,4945.64,4922.56,4945.64,NaN
1593511200,4945.19,4959,4943.1,4950.53,NaN
1593514800,4947.9,4964.59,4945.8,4945.97,NaN
1593518400,4946.24,4947.03,4920.89,4924.58,NaN
1593522000,4924.64,4926.6,4901.96,4903.83,NaN
1593525600,4902.79,4929.24,4902.79,4928.72,NaN
1593529200,4927.4,4952.97,4924.61,4948.41,NaN
1593586800,4939.8,4940.48,4920.49,4927.5,NaN
1593590400,4927.46,4934.8,4922.45,4928.19,NaN
1593594000,4928.45,4944.23,4895.99,4895.99,NaN
1593597600,4895.69,4908.63,4864,4871.58,NaN
1593601200,4872.57,4872.57,4851.37,4868.95,NaN
1593604800,4868.45,4929.36,4856.56,4928.04,NaN
1593608400,4929.79,4944.31,4914.85,4932.37,NaN
1593612000,4935.59,4963.37,4929.47,4943.86,NaN
1593615600,4945.75,4945.75,4919.51,4920.33,NaN
1593673200,4963.13,5007.73,4956.66,5000.24,NaN
1593676800,5000.89,5018.96,4990.76,5010.14,NaN
1593680400,5010.15,5012.75,4995.79,5005.22,NaN
1593684000,5005.34,5007.19,4987.08,5006,NaN
1593687600,5006.71,5017.01,5003.92,5007.22,NaN
1593691200,5007.05,5049.33,4997.48,5045.46,NaN
1593694800,5045.23,5068.28,5036.63,5065.89,NaN
1593698400,5067.17,5072.71,5032.75,5034.35,NaN
1593702000,5033.16,5050.1,5023,5046.86,NaN
1593759600,5056.67,5062.51,5035.06,5042.3,NaN
1593763200,5042.47,5046.87,5031.46,5034.89,NaN
1593766800,5035.43,5039.56,5008.88,5008.88,NaN
1593770400,5009.59,5019.17,4995.77,5019.17,NaN
1593774000,5019.41,5019.41,4998.5,5000.82,NaN
1593777600,5001.09,5013.67,4998.3,5004.66,NaN
1593781200,5004.29,5022.51,5000.79,5010.27,NaN
1593784800,5010.74,5012.19,4982.24,4997.79,NaN
1593788400,4997.5,4998.34,4988.93,4996.43,NaN
1594018800,5112.5,5121.72,5098.71,5101.73,NaN
1594022400,5101.84,5105.82,5080.39,5083.02,NaN
1594026000,5083.05,5095.35,5070.43,5093.67,NaN
1594029600,5093.26,5105.22,5090.67,5091.92,NaN
1594033200,5092.54,5092.54,5080.34,5089.71,NaN
1594036800,5089.05,5100.89,5081.96,5086.06,NaN
1594040400,5086.82,5090.6,5074.95,5086.24,NaN
1594044000,5085.61,5091.29,5059.07,5083,NaN
1594047600,5082.27,5091.03,5079.28,5087.34,NaN
1594105200,5054.04,5056.52,5024.25,5048.1,NaN
1594108800,5048.27,5055.95,5024.02,5025.61,NaN
1594112400,5027.1,5029.51,5012.78,5022.96,NaN
1594116000,5022.8,5036.18,5009.03,5029.08,NaN
1594119600,5030.26,5040.11,5028.2,5032.69,NaN
1594123200,5033.07,5037.46,5019.43,5025.37,NaN
1594126800,5025.54,5036.46,5021.81,5033.18,NaN
1594130400,5032.79,5048.69,5026.47,5038.95,NaN
1594134000,5038.5,5047.59,5035.3,5047.59,NaN
1594191600,5004.82,5030.28,4998.42,5021.98,NaN
1594195200,5023.24,5040.52,5012.16,5017.22,NaN
1594198800,5017.46,5019.43,4981.16,4992.21,NaN
1594202400,4993.5,5006.55,4985.58,5004.68,NaN
1594206000,5005.36,5011.6,4996.6,5006.61,NaN
1594209600,5007.11,5007.9,4985.7,4992.6,NaN
1594213200,4991.74,5005.25,4978.68,5004.91,NaN
1594216800,5004.28,5008.71,4988.15,4995.56,NaN
1594220400,4996.58,4997.8,4969.83,4980.03,NaN
1594278000,5006.52,5014.85,4973.94,4991.82,NaN
1594281600,4991.42,5002.29,4986.73,4990.85,NaN
1594285200,4991.35,4995.01,4979.9,4986.43,NaN
1594288800,4987.03,4988.77,4975.16,4978.61,NaN
1594292400,4978.36,4997.83,4978.15,4990.12,NaN
1594296000,4988.54,5002.42,4987.33,5002.3,NaN
1594299600,5002.47,5002.62,4977.15,4984.29,NaN
1594303200,4985.91,4990.13,4933.76,4933.76,NaN
1594306800,4935.15,4935.8,4911.56,4924.5,NaN
1594364400,4891.61,4912.57,4882.5,4911.27,NaN
1594368000,4912.22,4945.53,4912.22,4924.62,NaN
1594371600,4924.56,4938.72,4911.67,4933.22,NaN
1594375200,4932,4944.91,4924.91,4944.6,NaN
1594378800,4944.49,4957.47,4935.45,4936.91,NaN
1594382400,4937.75,4956.48,4928.16,4951.64,NaN
1594386000,4951.66,4967.81,4948.36,4953.81,NaN
1594389600,4950.84,4974.37,4942.33,4970.41,NaN
1594393200,4971.72,4971.84,4962.88,4966.55,NaN
1594623600,5026.2,5034.93,5012.12,5016.07,NaN
1594627200,5015.33,5015.94,4980.12,4991.92,NaN
1594630800,4994.12,5015.61,4994.12,5015.61,NaN
1594634400,5014.75,5032.9,5004.68,5032.9,NaN
1594638000,5032.82,5047.93,5032.02,5040.29,NaN
1594641600,5040.35,5040.94,5032.4,5033.04,NaN
1594645200,5032.8,5042.35,5024.72,5024.72,NaN
1594648800,5020.67,5040.79,5019.01,5034.82,NaN
1594652400,5035.05,5058.29,5034.67,5057.16,NaN
1594710000,4990.48,4991.06,4941.73,4953.14,NaN
1594713600,4952.32,4977.93,4951.75,4967.47,NaN
1594717200,4968.56,4984.25,4963.68,4973.42,NaN
1594720800,4973.61,4976.87,4963.58,4975.17,NaN
1594724400,4976.85,4986.52,4971.17,4985.7,NaN
1594728000,4984.77,4987.42,4956.97,4958.52,NaN
1594731600,4958.24,4992.55,4957.18,4986.86,NaN
1594735200,4988.13,5003.54,4964.8,4992.05,NaN
1594738800,4992.37,5000.13,4982.47,4995.56,NaN
1594796400,5045.92,5057.5,5039.19,5053.37,NaN
1594800000,5053.59,5070.75,5051.28,5054.61,NaN
1594803600,5054.09,5071.22,5052.26,5069.94,NaN
1594807200,5070.49,5126.6,5070.49,5116.08,NaN
1594810800,5115.66,5136.05,5115.56,5124.95,NaN
1594814400,5125.2,5136.25,5124.42,5128.54,NaN
1594818000,5129.54,5131.82,5112.1,5112.1,NaN
1594821600,5112.73,5145.33,5111.77,5144.02,NaN
1594825200,5142.21,5144.71,5115.56,5120.72,NaN
1594882800,5076.52,5088.42,5057.98,5059.12,NaN
1594886400,5058.68,5064.62,5050.36,5062.03,NaN
1594890000,5062.31,5073.43,5048.32,5066.21,NaN
1594893600,5066.72,5075.03,5062.72,5069.91,NaN
1594897200,5071.27,5079,5070.38,5072.41,NaN
1594900800,5072.3,5078.32,5065.05,5077.62,NaN
1594904400,5077.79,5103.39,5076.44,5098.67,NaN
1594908000,5096.7,5105.12,5081.98,5094.22,NaN
1594911600,5094.36,5099.83,5088.28,5088.28,NaN
1594969200,5088,5091.13,5060.06,5061.69,NaN
1594972800,5059.29,5068.26,5056.15,5062.26,NaN
1594976400,5061.97,5076.81,5052.18,5069.77,NaN
1594980000,5069.41,5081.05,5066.06,5075.65,NaN
1594983600,5076.1,5077.25,5064.96,5074.03,NaN
1594987200,5074.11,5081.83,5066.82,5069.46,NaN
1594990800,5069.18,5075.25,5045.07,5051.1,NaN
1594994400,5052.12,5063.09,5050.04,5060.06,NaN
1594998000,5061.27,5068.52,5059.59,5065.58,NaN
1595228400,5058.48,5062.36,5015.11,5036.26,NaN
1595232000,5036.66,5075.11,5031.03,5072.73,NaN
1595235600,5072.44,5086.66,5072.44,5075.08,NaN
1595239200,5074.76,5076.25,5050.63,5053.86,NaN
1595242800,5053.75,5079.36,5053.75,5074.15,NaN
1595246400,5073.85,5084.23,5059.62,5080.98,NaN
1595250000,5079.7,5100.79,5069.81,5072.43,NaN
1595253600,5073.23,5094.25,5070.36,5084.47,NaN
1595257200,5084.2,5094.65,5083.61,5093.32,NaN
1595314800,5129.78,5152.89,5121.65,5147.3,NaN
1595318400,5147.59,5163.14,5138.86,5159.66,NaN
1595322000,5159.53,5172.98,5156.75,5163.23,NaN
1595325600,5163.24,5165.19,5153.27,5161.14,NaN
1595329200,5161.46,5161.83,5150.41,5157.06,NaN
1595332800,5157.39,5158.6,5140.28,5142.77,NaN
1595336400,5142.81,5142.91,5129.25,5133.55,NaN
1595340000,5134.34,5136.68,5097.42,5111.28,NaN
1595343600,5110.91,5113.42,5100.31,5104.84,NaN
1595401200,5098.48,5099.29,5049.91,5055.8,NaN
1595404800,5054.5,5063.86,5040.66,5045.87,NaN
1595408400,5046.77,5054.1,5029.52,5051.43,NaN
1595412000,5052.63,5052.63,5034.77,5046.81,NaN
1595415600,5045,5059.31,5044.75,5054.2,NaN
1595419200,5054.24,5061.52,5044.74,5051.87,NaN
1595422800,5051.36,5060.4,5040.27,5053.69,NaN
1595426400,5053.65,5056.21,5038.4,5040.06,NaN
1595430000,5040.26,5041.99,5028.48,5037.77,NaN
1595487600,5064.72,5065.24,5041.98,5065.24,NaN
1595491200,5065.13,5083.97,5061.77,5064.49,NaN
1595494800,5063.21,5068.97,5054.86,5059.35,NaN
1595498400,5059.25,5076.07,5057.91,5061.33,NaN
1595502000,5062.13,5065.16,5054.55,5063.17,NaN
1595505600,5063.34,5063.34,5033.7,5034.46,NaN
1595509200,5034.18,5045.6,5034.18,5043.03,NaN
1595512800,5043.9,5044.01,5019.21,5022.61,NaN
1595516400,5023.02,5036.02,5021.5,5035.15,NaN
1595574000,4973.73,4976.82,4927.48,4927.64,NaN
1595577600,4929.06,4948.78,4925.41,4948.78,NaN
1595581200,4949.03,4977.76,4947.47,4976.59,NaN
1595584800,4975.45,4980.85,4964.41,4969.18,NaN
1595588400,4970.15,4982.12,4962.14,4970.48,NaN
1595592000,4969.98,4976.79,4967.23,4970.03,NaN
1595595600,4969.9,4971.86,4950.56,4953.48,NaN
1595599200,4952.67,4965.84,4949.11,4961.63,NaN
1595602800,4961.55,4962.99,4951.25,4955.09,NaN
1595833200,4944.3,4954.76,4923.19,4939.02,NaN
1595836800,4940.27,4957.63,4938.11,4941.65,NaN
1595840400,4941.55,4957.27,4938.51,4954.86,NaN
1595844000,4955.24,4955.88,4947.15,4947.58,NaN
1595847600,4948.12,4952.19,4937.43,4948.96,NaN
1595851200,4948.82,4950.08,4928.59,4937.13,NaN
1595854800,4938.08,4947.01,4935.82,4936.5,NaN
1595858400,4936.64,4957.77,4936.64,4953.34,NaN
1595862000,4952.51,4954.05,4943.88,4943.88,NaN
1595919600,4930.1,4950.01,4919.44,4920.15,NaN
1595923200,4919.63,4937.5,4919.43,4936.46,NaN
1595926800,4937.41,4942.98,4913.5,4914.41,NaN
1595930400,4914.48,4914.9,4893.63,4910.19,NaN
1595934000,4910.03,4912.26,4895.47,4901.25,NaN
1595937600,4901.59,4911.11,4896.64,4909.32,NaN
1595941200,4909.3,4919.71,4904.96,4912.26,NaN
1595944800,4912.68,4935.36,4912.68,4927.98,NaN
1595948400,4927.48,4936.21,4919.93,4933.83,NaN
1596006000,4948.48,4978.5,4945.58,4973.03,NaN
1596009600,4972.41,4975.58,4961.92,4967.93,NaN
1596013200,4967.59,4968.37,4958.2,4958.47,NaN
1596016800,4958.12,4967.95,4954.02,4959.91,NaN
1596020400,4961.87,4972.22,4961.49,4966.81,NaN
1596024000,4966.63,4973.32,4958.1,4961.67,NaN
1596027600,4961.71,4964.7,4953.69,4960.54,NaN
1596031200,4960.58,4972.52,4959.18,4966.89,NaN
1596034800,4966.82,4969.15,4961.6,4967.08,NaN
1596092400,4952.08,4952.38,4919.69,4939.78,NaN
1596096000,4940.46,4945.37,4907.41,4907.52,NaN
1596099600,4906.39,4914.78,4897.29,4901.94,NaN
1596103200,4902.03,4907.58,4867.53,4871.59,NaN
1596106800,4872.44,4902.71,4872.11,4900.52,NaN
1596110400,4900.88,4901.67,4864.53,4864.53,NaN
1596114000,4864.69,4867.06,4828.61,4828.61,NaN
1596117600,4829.48,4833.27,4801.02,4827.37,NaN
1596121200,4830.16,4845.34,4828.54,4839.76,NaN
1596178800,4866.24,4894.22,4843.73,4880.5,NaN
1596182400,4880.37,4902.9,4869.5,4887.78,NaN
1596186000,4887.63,4887.63,4848.07,4848.07,NaN
1596189600,4847.96,4865.52,4847.96,4855.25,NaN
1596193200,4855.14,4873.05,4855.14,4865.12,NaN
1596196800,4864.97,4870.23,4855.52,4861.63,NaN
1596200400,4861.73,4871.23,4848.71,4859.07,NaN
1596204000,4859.95,4859.96,4796.9,4802.63,NaN
1596207600,4802.94,4812.03,4788,4807.59,NaN
1596438000,4797.06,4801.68,4763.6,4795.36,NaN
1596441600,4797.53,4810.91,4776.59,4792.77,NaN
1596445200,4792.94,4803.72,4788.98,4803.72,NaN
1596448800,4803.92,4839.79,4801.27,4833.05,NaN
1596452400,4832.98,4853.39,4832.08,4853.39,NaN
1596456000,4853.54,4860.68,4849.37,4856.75,NaN
1596459600,4857.1,4870.21,4853.28,4870.21,NaN
1596463200,4868.5,4899.52,4868.47,4882.15,NaN
1596466800,4883.3,4893.48,4881.83,4886.2,NaN
1596524400,4905.66,4920.8,4872.86,4873.62,NaN
1596528000,4874.45,4909.23,4866.33,4894.05,NaN
1596531600,4894.13,4901.11,4882.39,4884.76,NaN
1596535200,4884.46,4888.19,4872.06,4883.53,NaN
1596538800,4882.55,4886.13,4861.77,4873.69,NaN
1596542400,4872.58,4873.98,4856.65,4864.64,NaN
1596546000,4864.85,4885.8,4863,4882.77,NaN
1596549600,4882.48,4895.55,4882.16,4890.91,NaN
1596553200,4891.27,4898.27,4888.09,4888.16,NaN
1596610800,4916.96,4954.6,4916.96,4945.77,NaN
1596614400,4945.25,4945.83,4907.41,4930.16,NaN
1596618000,4930.43,4939.1,4928.29,4939.1,NaN
1596621600,4939.24,4941.26,4927.29,4934.95,NaN
1596625200,4934.35,4935.01,4925.4,4932.94,NaN
1596628800,4933.46,4933.68,4920.53,4925.17,NaN
1596632400,4925.04,4927.46,4913.32,4927.17,NaN
1596636000,4927.68,4932.98,4920.32,4925.46,NaN
1596639600,4925.31,4934.3,4925.31,4927.31,NaN
1596697200,4919.41,4951.86,4901.68,4924.91,NaN
1596700800,4925.26,4925.26,4892.23,4904.23,NaN
1596704400,4905.23,4910.7,4898.13,4907.05,NaN
1596708000,4907.59,4907.59,4870.79,4872.2,NaN
1596711600,4873.64,4883.72,4860.98,4870.54,NaN
1596715200,4870.33,4908.5,4862.37,4901.67,NaN
1596718800,4902.57,4903.03,4882.78,4896.37,NaN
1596722400,4897.95,4906.7,4881.43,4888.93,NaN
1596726000,4888.31,4892.1,4880.59,4889.07,NaN
1596783600,4873.1,4886.77,4860.63,4878.66,NaN
1596787200,4879.27,4883.97,4857.76,4861.09,NaN
1596790800,4860.76,4860.76,4843.9,4854.41,NaN
1596794400,4854.21,4871.32,4852.5,4871.32,NaN
1596798000,4872.11,4874.19,4869,4870.88,NaN
1596801600,4871.09,4896.21,4867.29,4875.11,NaN
1596805200,4875.24,4886.83,4869.8,4883.87,NaN
1596808800,4885.33,4895.45,4877.26,4888,NaN
1596812400,4889.02,4893.98,4882.22,4883.78,NaN
1597042800,4905.27,4937.63,4898.21,4911.71,NaN
1597046400,4912.34,4915.2,4878.58,4893.1,NaN
1597050000,4892.59,4913.61,4890.68,4908.52,NaN
1597053600,4910.77,4920.73,4903.53,4918.41,NaN
1597057200,4918.34,4918.34,4903.38,4909.36,NaN
1597060800,4909.54,4911.73,4901.89,4909.85,NaN
1597064400,4909.72,4921.01,4906.44,4912.14,NaN
1597068000,4912.21,4919,4898.27,4898.27,NaN
1597071600,4897.78,4907.1,4895.34,4905.64,NaN
1597129200,4952.41,5010.94,4949.05,5009.82,NaN
1597132800,5010.47,5038.67,5001.96,5038.34,NaN
1597136400,5038.49,5052.09,5028.84,5041.23,NaN
1597140000,5041.01,5044.44,5036.34,5039.1,NaN
1597143600,5040.42,5048.48,5035.28,5036.51,NaN
1597147200,5036.37,5048.67,5035.95,5047.44,NaN
1597150800,5047.58,5052.12,5028.77,5029.79,NaN
1597154400,5029.82,5031.87,5011,5018.92,NaN
1597158000,5019.2,5028.66,5017.63,5024.03,NaN
1597215600,5017.73,5046.39,5010.8,5044.94,NaN
1597219200,5043.92,5046.13,5025.51,5038.05,NaN
1597222800,5038.16,5044.79,5035.83,5040.83,NaN
1597226400,5040.36,5051.85,5038.93,5050.46,NaN
1597230000,5050.76,5051.01,5042.63,5048.3,NaN
1597233600,5048.4,5065.48,5045.94,5064.07,NaN
1597237200,5064.85,5067.15,5058.66,5063.05,NaN
1597240800,5063.38,5096.53,5062.21,5086.41,NaN
1597244400,5085.36,5091.41,5069.23,5078.37,NaN
1597302000,5055.42,5079.02,5053.85,5070.3,NaN
1597305600,5070.65,5073.34,5055.99,5063.16,NaN
1597309200,5063.17,5071.52,5063.17,5065.54,NaN
1597312800,5065.7,5069.91,5060.58,5061.94,NaN
1597316400,5061.98,5064,5058.43,5059.07,NaN
1597320000,5058.79,5060.44,5047.7,5053.36,NaN
1597323600,5053.39,5053.75,5037.55,5049.02,NaN
1597327200,5049.93,5051.9,5042.36,5046.96,NaN
1597330800,5046.91,5054.78,5044.9,5050.18,NaN
1597388400,5018.95,5018.95,4959.89,4972.26,NaN
1597392000,4972.37,4972.37,4922.74,4928.78,NaN
1597395600,4929.12,4946.76,4921.58,4946.25,NaN
1597399200,4946.3,4953.87,4933.94,4953.06,NaN
1597402800,4952.95,4958.08,4950.05,4955.39,NaN
1597406400,4955.57,4967.3,4951.01,4954.86,NaN
1597410000,4955.44,4961.39,4946.59,4959.28,NaN
1597413600,4959.85,4970.22,4955.85,4964.57,NaN
1597417200,4964.2,4972.44,4960.9,4970.63,NaN
1597647600,4972.59,4995.55,4937.72,4978.62,NaN
1597651200,4977.98,4979.12,4954.23,4964.26,NaN
1597654800,4967.12,4979.84,4959.91,4959.91,NaN
1597658400,4960.15,4969.56,4958.89,4969,NaN
1597662000,4971.21,4971.45,4963.37,4967.66,NaN
1597665600,4967.73,4976.92,4967.16,4967.16,NaN
1597669200,4966.69,4977.9,4966.07,4968.73,NaN
1597672800,4969.79,4977.43,4964.11,4975.87,NaN
1597676400,4975.41,4980.58,4970.92,4977.84,NaN
1597734000,4951.98,4960.35,4924.15,4957.36,NaN
1597737600,4957.57,4986.05,4957.45,4974.98,NaN
1597741200,4974.91,4996.49,4971.56,4990.79,NaN
1597744800,4991.11,5000.44,4987.9,5000.44,NaN
1597748400,5001.18,5001.29,4982.89,4984.42,NaN
1597752000,4984.21,4985.51,4972.26,4979.76,NaN
1597755600,4978.91,4978.91,4950.72,4953.05,NaN
1597759200,4952.26,4954.65,4926.63,4935.28,NaN
1597762800,4935.48,4940.38,4928.33,4929.66,NaN
1597820400,4934.79,4955.93,4917.53,4949.35,NaN
1597824000,4948.88,4950.2,4933.66,4946.59,NaN
1597827600,4945.44,4957.27,4944.6,4954.08,NaN
1597831200,4954.18,4954.52,4938.98,4947.25,NaN
1597834800,4946.66,4948.86,4941.76,4946.81,NaN
1597838400,4947.05,4951.25,4939.2,4949.6,NaN
1597842000,4949.68,4961.28,4949.68,4954.59,NaN
1597845600,4954.33,4965.77,4953.15,4965.51,NaN
1597849200,4966,4975.08,4963.31,4973.43,NaN
1597906800,4914.69,4937.95,4903.55,4914.19,NaN
1597910400,4913.41,4916.27,4888.15,4903.46,NaN
1597914000,4903.34,4912.72,4900.67,4907.85,NaN
1597917600,4908,4932.48,4905.88,4929.14,NaN
1597921200,4928.83,4931.08,4910.01,4911.58,NaN
1597924800,4911.69,4914.49,4905.32,4910.8,NaN
1597928400,4911.03,4912.91,4901.41,4909.92,NaN
1597932000,4910.32,4921.32,4900.84,4913.24,NaN
1597935600,4913.15,4915.45,4904.97,4914.24,NaN
1597993200,4927.61,4938.53,4892.73,4930.34,NaN
1597996800,4929.93,4932.67,4912.8,4918.28,NaN
1598000400,4917.87,4939.25,4912.54,4922.93,NaN
1598004000,4923.84,4928.56,4898.76,4903.58,NaN
1598007600,4903.46,4907.86,4874.82,4874.82,NaN
1598011200,4874.11,4874.11,4847.28,4847.91,NaN
1598014800,4847.77,4877.99,4839.08,4877.61,NaN
1598018400,4877.01,4895.82,4872.51,4889.39,NaN
1598022000,4889.48,4897.78,4882.41,4887.71,NaN
1598252400,4948.71,4989.96,4948.71,4984.53,NaN
1598256000,4984.24,5005.62,4976.14,5001.55,NaN
